PlayerID,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
player821,2009-10,30,CHA,NBA,SG,46,993,11.4,.484,.319,.319,1.9,9.9,5.9,15.2,1.5,1.0,12.2,25.0,-0.4,1.3,0.9,.041,-2.1,-1.3,-3.4,-0.3,
player821,2009-10,30,CHI,NBA,SG,29,680,12.1,.487,.331,.232,2.2,11.6,7.0,12.2,1.4,0.4,8.0,21.5,0.2,0.7,0.9,.065,-1.1,-1.4,-2.5,-0.1,
player822,2013-14,24,NYK,NBA,PG,51,373,11.1,.479,.093,.302,4.0,10.1,6.9,21.5,2.7,0.2,18.9,22.5,-0.3,0.3,0.0,.002,-3.4,-1.6,-4.9,-0.3,
player822,2014-15,25,TOT,NBA,SG-PG,5,18,1.1,.510,.000,.400,6.4,0.0,3.1,8.3,2.8,0.0,40.5,24.9,-0.1,0.0,-0.1,-0.171,-10.0,-1.2,-11.2,0.0,
player822,2014-15,25,UTA,NBA,PG,1,1,-41.7,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,-1.046,-36.8,-13.2,-50.0,0.0,
player822,2014-15,25,WAS,NBA,SG,4,17,3.6,.615,.000,.500,6.8,0.0,3.3,8.8,3.0,0.0,45.0,23.7,-0.1,0.0,0.0,-0.120,-8.4,-0.5,-9.0,0.0,
player823,2013-14,22,ATL,NBA,PF,20,215,10.8,.480,.041,.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,.040,-5.6,-0.4,-6.0,-0.2,
player823,2014-15,23,ATL,NBA,PF,40,502,18.0,.608,.146,.166,12.2,14.8,13.5,8.0,1.6,3.2,11.5,16.7,1.2,0.7,1.9,.179,0.8,0.9,1.7,0.5,
player823,2015-16,24,ATL,NBA,C,60,565,13.6,.576,.257,.257,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,0.7,0.9,1.6,.136,-2.0,1.5,-0.5,0.2,
player823,2016-17,25,ATL,NBA,C,50,984,14.6,.603,.311,.198,6.9,13.6,10.3,10.4,1.2,2.8,12.9,15.2,1.5,1.2,2.7,.131,-0.2,1.3,1.2,0.8,
player824,1991-92,25,DEN,NBA,C,71,2716,16.5,.540,.000,.575,11.9,23.3,17.3,8.6,0.8,4.8,18.8,20.1,1.3,3.6,4.8,.086,-1.2,2.6,1.4,2.3,
player824,1992-93,26,DEN,NBA,C,82,3029,17.2,.567,.000,.630,11.9,25.5,18.7,6.8,0.7,5.7,17.8,16.3,3.3,5.5,8.8,.139,-1.0,3.7,2.7,3.6,
player824,1993-94,27,DEN,NBA,C,82,2853,17.9,.590,.002,.684,11.5,25.8,18.9,6.6,1.0,7.4,19.8,15.6,2.9,6.4,9.4,.158,-0.9,5.2,4.2,4.5,
